序号,项目名称,地点,工程项目类型,预定工期（天）,工期提前数（天）,完工年份,投标价格（万元）,实际合同价格（万元）,预期总成本（万元）,预期利润率（%）,预期利润额（万元）,当期行业基准收益率（%）,基准收益利润额（万元）,工期提前奖励（万元/天）,预期质量保证金（万元）,工程回款比例（%）,未回流工程款（万元）,抵房类型,抵房时点,抵房套数,抵扣单价（元/㎡）,抵房总面积（㎡）,去化时间（天）,平均自销售价（元/㎡）,直接回流款项（万元）,去化期间物业管理费（万元）,当期经营贷款年化利率（%）,去化期间利息支出或沉没（万元）,当期商铺对外每月租金（万元）,当期车位对外每月租金（万元）,租赁时长（年）,持有物业的契税成本损失（万元）,质量保证金与工期奖励回收金额（万元）,实收款项预估现金现值（万元）,是否应投资该项目
1,A-1,佛山市,规划设计咨询,40,0,"2,015",418,418,282.15,0.283,118.29,0.171,71.48,0,12.54,0.75,104.50,车位,"2,016.03",1,"12,343.5",84.66,86,"18,814.1",159.28,0.07,0.05,1.27,0,0,0,3.14,0,471.44,是
2,A-2,佛山市,土木建筑工程,410,4,"2,015","29,325","29,325","23,020.13",0.075,"2,199.38",0.056,"1,642.20",0.80,879.75,0.95,"1,469.45",住宅,"2,016.11",12,"14,746.3",996.49,392,"19,755.0","1,968.57",3.50,0.05,78.40,0,0,0,44.08,0,"29,745.43",是
3,A-3,东莞市,建筑装饰工程,140,7,"2,016","1,035","1,030",659.20,0.210,216.30,0.148,152.44,0.80,30.90,0.85,160.10,住宅,"2,016.11",1,"14,253.9",112.32,113,"17,582.8",197.49,0.13,0.05,2.43,0,0,0,4.80,0,"1,070.44",是
4,A-4,中山市,土木建筑工程,475,13,"2,016","45,638","45,638","35,825.83",0.078,"3,559.76",0.059,"2,692.64",0.90,"1,369.14",0.90,"4,575.50",住宅,"2,016.10",26,"14,359.8","3,186.32",417,"15,179.0","4,836.50",12.04,0.05,425.84,0,0,0,137.27,0,"45,472.81",否
5,A-5,广州市,规划设计咨询,45,0,"2,017",363.80,360,259.20,0.280,100.80,0.158,56.88,0,10.80,0.80,72.00,车位,"2,017.07",2,"26,666.7",27,76,"33,807.4",91.28,0.02,0.05,0.54,0,0,0,2.16,0,378.72,是
6,A-6,佛山市,市政道路工程,105,8,"2,017","4,620","4,600","3,174.00",0.183,841.80,0.142,653.20,1.20,138.00,0.81,883.60,商铺,"2,017.11",26,"7,724.2","1,143.94",0,0.0,0,53.81,0.05,267.08,9.49,0,8,26.51,0,"4,316.60",否
7,A-7,佛山市,土木建筑工程,280,5,"2,018","17,380","17,380","13,643.30",0.073,"1,268.74",0.060,"1,042.80",0.80,521.40,0.85,"2,611.00",住宅,"2,018.05",18,"12,934.3","2,018.66",277,"15,398.4","3,108.41",5.45,0.04,85.18,0,0,0,78.33,0,"17,790.78",是
8,A-8,东莞市,建筑装饰工程,195,9,"2,018","1,328","1,328",849.92,0.195,258.96,0.148,196.54,0.80,39.84,0.72,379.04,住宅,"2,018.09",3,"12,948.9",292.72,151,"16,000.6",468.37,0.42,0.04,8.24,0,0,0,11.37,0,"1,415.86",是
9,A-9,中山市,土木建筑工程,380,11,"2,018","15,528","15,520","12,183.20",0.075,"1,164.00",0.060,931.20,0.80,465.60,0.87,"2,026.40",住宅,"2,019.03",13,"12,088.4","1,676.32",104,"11,868.3","1,989.50",1.81,0.04,35.26,0,0,0,60.79,0,"15,454.83",是
10,A-10,汕尾市,园林绿化工程,160,3,"2,018",998,998,608.78,0.240,239.52,0.190,189.62,1,29.94,0.70,302.40,车位,"2,019.04",34,"6,588.2",459,0,0.0,293.83,4.63,0.04,41.20,0,6.12,3,9.07,0,909.81,否
