split,y_reg,y_sr,y_cal
train,157.914,416.96241877416503,318.16534
train,342.0,458.10416580443,516.4741
train,333.45,424.21597964189345,353.12848
train,330.429,420.6186776377039,335.789
train,100.8,421.4142363277838,339.6237
train,121.588,419.6918612033312,331.32162
train,210.7,418.38807604592347,325.0372
train,216.3,420.06709138571836,333.13028
train,100.1,417.3888093531865,320.2206
train,152.5,423.5972251416745,350.146
train,3559.764,727.6215957304282,1815.5844
train,236.44,417.19989969234575,319.31003
train,298.053,416.4699408295805,315.79153
train,583.1999999999999,464.32337797183476,546.45154
train,126.5,418.22011393272334,324.2276
train,75.04,414.67219021727243,307.12613
train,231.075,416.87321172246675,317.73535
train,355.99,423.5879183477045,350.10114
train,599.04,463.6152877928052,543.03845
train,334.8,424.184544835332,352.97696
train,491.4,425.9639017705696,361.5537
train,300.3,446.69889310794673,461.49915
train,406.08,424.3895266613279,353.965
train,193.05,418.1535182826032,323.9066
train,270.75,418.7811563520998,326.9319
train,243.00000000000003,436.82226235836083,413.89246
train,118.29399999999998,426.15913490622546,362.49475
train,68.04,416.909154701854,317.9086
train,841.8,432.4694565618132,392.91135
train,1340.0,646.7264280342343,1425.6588
train,323.6,418.6374964646164,326.23944
train,1237.6799999999998,600.3255872452592,1202.0005
train,1164.0,584.6818541058738,1126.5956
train,407.0,416.53100758849905,316.08588
train,316.1232,421.6077495944692,340.55646
train,556.7,421.93845404966385,342.1505
train,615.6,466.3338114398349,556.1421
train,460.59,424.16168240342165,352.86676
train,2558.06,1005.1057740711703,3153.0955
train,728.1899999999999,495.74085306712976,697.888
train,509.85,439.24764481627295,425.58313
train,376.2,421.4602059980442,339.84528
train,2199.375,854.6981705111364,2428.1106
train,969.9,520.2536953072323,816.0432
train,1560.0,563.4001871677208,1024.0151
train,961.5,585.0496239157427,1128.3683
train,612.0,423.91383455490916,351.6721
train,1268.74,690.7289955665473,1637.7571
train,2022.15,539.6167747595181,909.37585
train,149.5,420.0697448385689,333.14307
train,480.06,421.1598492428483,338.39752
train,239.52,416.6164159911204,316.49756
train,578.396,442.0209698370697,438.95093
train,1390.5,756.7994736345996,1956.2257
train,173.04000000000002,419.8023435943436,331.85416
train,381.48,419.95502397674045,332.5901
test,321.54,415.375546088714,310.5164
test,119.84000000000002,417.72507796830706,321.84146
test,432.62,421.85028638801884,341.72552
test,409.1252,418.7361306388737,326.71487
test,725.68,428.59744646356273,374.24774
test,435.48,420.54170260946694,335.41797
test,258.96000000000004,418.8297525050099,327.16614
test,1885.08,746.9162019916794,1908.587
test,220.78,416.3803790160077,315.35983
test,319.70000000000005,428.73684920855254,374.91968
test,421.74,419.9004259167962,332.32693
test,106.4,417.98410392781165,323.09
test,201.4,416.54090772689074,316.1336
test,2369.8,628.5445500266259,1338.0197
test,245.0,414.9597693210948,308.5123
