epoch,mean_R,mean_R_train,overall_max_R,max_R,best_prog_complexity,mean_complexity,loss,n_physical,n_rewarded,best_prog_of_epoch,overall_best_prog,best_prog_of_epoch_prefix,overall_best_prog_prefix
0,0.26886050528301497,0.496249854963096,0.5712300194726452,0.5712300194726452,4.0,6.033,0.22903704270171646,2000,2000,(X24/tan(X23)),(X24/tan(X23)),[div X24 tan X23],[div X24 tan X23]
1,0.2798162490677699,0.49949649229380616,0.5712300194726452,0.5505067570923128,5.0,5.993,0.25212156820922654,2000,2000,(X26/(X23-X7)),(X24/tan(X23)),[div X26 sub X23 X7],[div X24 tan X23]
2,0.28077871180122016,0.4974101115314681,0.5712300194726452,0.5079234132917247,7.0,5.92,0.2166623491359479,2000,2000,cos((X21-log((X21+X24)))),(X24/tan(X23)),[cos sub X21 log add X21 X24],[div X24 tan X23]
3,0.2807868669088995,0.4970705740504267,0.5712300194726452,0.5402603671103845,4.0,5.968,0.17937637704844034,2000,2000,(((X27/X23))**(2)),(X24/tan(X23)),[n2 div X27 X23],[div X24 tan X23]
4,0.281882497600764,0.49712697219808205,0.5712300194726452,0.5502484530634606,5.0,5.874,0.21592609055074835,2000,2000,((X26/X23)+X8),(X24/tan(X23)),[add div X26 X23 X8],[div X24 tan X23]
5,0.28829752768359823,0.5011380567923669,0.5712300194726452,0.5427881226657336,6.0,5.9075,0.13094053087993973,2000,2000,cos(exp(-((X2/X23)))),(X24/tan(X23)),[cos exp neg div X2 X23],[div X24 tan X23]
6,0.2861979572435271,0.4996878478899019,0.5712300194726452,0.5336111722020148,4.0,5.9035,0.2065066403234921,2000,2000,(abs(X15)/X23),(X24/tan(X23)),[div abs X15 X23],[div X24 tan X23]
7,0.28782277529398914,0.5022300108394611,0.5712300194726452,0.5711521654407984,7.0,5.788,0.09948965342762994,2000,2000,(X24/(sin(X23)/exp(X5))),(X24/tan(X23)),[div X24 div sin X23 exp X5],[div X24 tan X23]
8,0.29636301749269206,0.5016690029713422,0.5712300194726452,0.5279274272039186,12.0,5.815,0.06460115976029768,2000,2000,(((X6-((X16*X8)/(exp(X23)-cos(X13)))))**(0.5)),(X24/tan(X23)),[sqrt sub X6 div mul X16 X8 sub exp X23 cos X13],[div X24 tan X23]
9,0.30157891109842694,0.5021271606100468,0.5712300194726452,0.5507043973752604,6.0,5.736,0.06122102989793702,2000,2000,abs(sin((((X24/X23))**(2)))),(X24/tan(X23)),[abs sin n2 div X24 X23],[div X24 tan X23]
10,0.30365996785591964,0.5044065893147426,0.5712300194726452,0.5463311756435492,4.0,5.68,0.05715772515357601,2000,2000,(X27/sin(X23)),(X24/tan(X23)),[div X27 sin X23],[div X24 tan X23]
11,0.3125886443449726,0.5053384714858249,0.5712300194726452,0.5642189656623998,4.0,5.6385,0.017292649279548218,2000,2000,(((X24/X23))**(0.5)),(X24/tan(X23)),[sqrt div X24 X23],[div X24 tan X23]
12,0.32062143860703723,0.5048441940498563,0.5712300194726452,0.5712181920318165,5.0,5.6635,0.01041214118161498,2000,2000,(X21+(X24/X23)),(X24/tan(X23)),[add X21 div X24 X23],[div X24 tan X23]
13,0.3197948261548295,0.5040929835239976,0.5712300194726452,0.5504949007150713,4.0,5.588,-0.012661285169672496,2000,2000,(X26/sin(X23)),(X24/tan(X23)),[div X26 sin X23],[div X24 tan X23]
14,0.31701127885403413,0.5035399031097385,0.5712300194726452,0.5373629473490368,7.0,5.5465,-0.014035249104212756,2000,2000,(sin(log(((exp(X15))**(2))))/X23),(X24/tan(X23)),[div sin log n2 exp X15 X23],[div X24 tan X23]
