Model,Model_Size_Complexity,Global_Interpretability,Local_Explanation_Cost,Auditability_Traceability,Overall_Interpretability,Rank_All_Models,Rank_Nonlinear_Subset,Rank_Nonlinear_Subset_Display
Linear Regression,0.05,1.0,0.05,1.0,0.9850000000000001,1,,-
Ridge Regression,0.05,1.0,0.05,1.0,0.9850000000000001,1,,-
Lasso Regression,0.05,1.0,0.05,1.0,0.9850000000000001,1,,-
Symbolic Regression (PhySO),0.7643076139226299,1.0,0.05,1.0,0.9135692386077371,2,1.0,1.0
Decision Tree,0.23333333333333334,0.75,0.2,0.75,0.7616666666666667,3,2.0,2.0
Random Forest,0.34181333333333336,0.5,0.6,0.4,0.4658186666666667,4,3.0,3.0
Gradient Boosting,0.2,0.4,0.7,0.3,0.39000000000000007,5,4.0,4.0
K-Nearest Neighbors,0.5,0.1,0.85,0.2,0.18,6,5.0,5.0
Support Vector Machine,0.5,0.1,0.9,0.1,0.14,7,6.0,6.0
Neural Network,0.7784405130536965,0.0,1.0,0.05,0.03715594869463035,8,7.0,7.0
